iter,base_p25,base_med,base_p75,vem_p25,vem_med,vem_p75,ecm_p25,ecm_med,ecm_p75,gem_p25,gem_med,gem_p75
0,-220.991319,-181.745118,-156.478171,-220.991319,-181.745118,-156.478171,-220.991319,-181.745118,-156.478171,-220.991319,-181.745118,-156.478171
1,-141.102148,-102.289683,-77.760900,-141.895828,-102.449074,-78.034460,-133.545354,-98.548005,-74.592761,-169.622493,-130.970429,-97.606128
2,-100.672376,-78.796273,-55.539628,-102.256781,-82.000532,-58.059647,-90.604487,-73.899623,-50.885835,-140.558163,-104.938728,-78.900877
3,-78.345453,-64.646200,-41.405063,-79.613593,-67.336382,-44.285121,-72.773514,-59.929318,-38.462619,-116.198516,-88.205740,-67.097944
4,-67.292352,-51.139501,-36.296574,-68.074900,-54.372032,-37.993282,-49.381340,-42.161630,-32.062287,-94.797969,-76.487261,-52.655667
5,-47.302200,-39.670924,-28.358291,-43.511187,-34.415792,-28.956295,-37.315267,-23.805088,-12.967509,-82.223108,-68.201082,-44.168187
6,-36.308152,-21.176629,-11.423569,-39.231706,-14.281834,-8.601130,-32.676209,-7.512009,-0.899650,-74.271393,-61.641447,-39.592837
7,-31.930969,-6.637800,0.428325,-33.754450,-5.942887,2.862949,-13.247552,-0.521229,3.711209,-68.733238,-52.555028,-36.370196
8,-16.323145,-1.854039,3.869909,-21.388834,-1.974205,4.030316,-5.785046,2.254810,5.391386,-58.111251,-45.375599,-32.667729
9,-7.775108,2.252499,5.095732,-5.283158,1.457979,5.442790,-1.840960,3.743006,5.884465,-46.234758,-39.517113,-27.359156
10,-2.075404,3.615856,5.777566,-3.585552,3.678497,5.806489,1.790586,4.393406,6.108196,-38.319842,-27.188149,-19.194468
11,1.518964,4.243006,6.072929,1.664455,3.806878,5.937461,2.653513,4.685520,6.281704,-36.317605,-19.649474,-10.190582
12,2.298331,4.662136,6.257634,2.211058,4.027189,6.007458,3.305273,4.782725,6.375142,-34.005998,-10.321602,-4.083815
13,3.322331,4.766777,6.359349,3.136341,4.259477,6.049510,3.717200,5.529472,6.509751,-30.706979,-6.001358,0.684194
14,3.550903,5.513458,6.528089,3.679352,4.347432,6.069156,3.983189,5.954628,6.761122,-16.127494,-3.546244,2.639718
15,3.839317,5.554383,6.761062,3.798713,4.459445,6.075854,4.005697,5.955850,6.814119,-10.455200,-0.883374,3.771012
16,4.003178,5.955424,6.777110,3.792089,5.431737,6.097314,4.113235,6.220419,6.863826,-6.045098,1.653003,4.678956
17,4.020790,6.037946,6.875596,4.037037,5.631647,6.389820,4.418789,6.221827,7.131714,-4.369157,2.572541,5.223701
18,4.234643,6.221019,6.918472,4.208769,5.714320,6.519913,4.419419,6.222472,7.311249,-1.381932,3.308230,5.574350
19,4.418996,6.222060,7.197268,4.207440,5.800012,6.561491,4.419472,6.222769,7.389717,0.375067,3.724101,5.813790
20,4.419217,6.222559,7.379182,4.206507,5.938650,6.593426,4.419502,6.222906,7.429185,1.081699,4.213621,5.984275
21,4.419348,6.222800,7.421508,4.205851,5.938706,6.676936,4.419517,6.222969,7.454331,1.651049,4.459912,6.108915
22,4.419425,6.222916,7.442268,4.205390,5.938735,6.876292,4.419526,6.222998,7.479360,2.013103,4.594450,6.201440
23,4.419470,6.222971,7.462828,4.205067,5.938750,7.060563,4.419531,6.223012,7.504324,2.350614,4.677509,6.270672
24,4.419497,6.222998,7.483397,4.204840,5.938758,7.132505,4.419534,6.223018,7.529120,3.248981,4.733333,6.358553
25,4.419514,6.223011,7.504059,4.204681,5.938762,7.136494,4.419535,6.223021,7.549847,3.402548,5.045382,6.469505
26,4.419523,6.223018,7.524783,4.204570,5.938764,7.135463,4.419536,6.223022,7.554885,3.541977,5.493970,6.548876
27,4.419529,6.223021,7.545441,4.204493,5.938765,7.134605,4.419537,6.223023,7.559094,3.746810,5.518808,6.743130
28,4.419532,6.223022,7.552498,4.204440,5.938765,7.133892,4.419537,6.223023,7.562644,3.971415,5.782283,6.753532
29,4.419534,6.223023,7.556624,4.204403,5.938766,7.133301,4.419537,6.223024,7.565656,3.986491,5.953625,6.762839
30,4.419535,6.223023,7.560140,4.204377,5.938766,7.132810,4.419537,6.223024,7.568220,3.999515,5.954711,6.846180
31,4.419536,6.223023,7.563163,4.204360,5.938766,7.132404,4.419537,6.223024,7.570407,4.009931,5.955352,6.872173
32,4.419537,6.223024,7.565776,4.204348,5.939936,7.132068,4.419537,6.223024,7.572272,4.018292,6.133623,6.896452
