x,truth_pdf,base_pdf,vem_pdf,ecm_pdf,gem_pdf
-6.090295,0.000483,0.000188,0.000183,0.000188,0.000188
-6.045632,0.000560,0.000224,0.000218,0.000224,0.000225
-6.000970,0.000647,0.000267,0.000260,0.000267,0.000267
-5.956307,0.000747,0.000317,0.000309,0.000317,0.000318
-5.911645,0.000861,0.000376,0.000366,0.000376,0.000376
-5.866982,0.000990,0.000444,0.000433,0.000444,0.000444
-5.822320,0.001136,0.000523,0.000511,0.000523,0.000524
-5.777657,0.001302,0.000615,0.000601,0.000615,0.000616
-5.732995,0.001488,0.000721,0.000706,0.000721,0.000722
-5.688332,0.001698,0.000844,0.000826,0.000844,0.000845
-5.643670,0.001934,0.000985,0.000965,0.000985,0.000986
-5.599007,0.002198,0.001147,0.001125,0.001147,0.001148
-5.554345,0.002493,0.001333,0.001308,0.001333,0.001334
-5.509682,0.002822,0.001544,0.001517,0.001544,0.001545
-5.465020,0.003189,0.001785,0.001754,0.001785,0.001786
-5.420357,0.003596,0.002058,0.002024,0.002058,0.002060
-5.375695,0.004047,0.002367,0.002330,0.002367,0.002369
-5.331032,0.004546,0.002716,0.002676,0.002716,0.002718
-5.286370,0.005096,0.003109,0.003065,0.003109,0.003111
-5.241707,0.005701,0.003550,0.003502,0.003550,0.003553
-5.197045,0.006366,0.004044,0.003992,0.004044,0.004046
-5.152382,0.007094,0.004595,0.004539,0.004595,0.004598
-5.107720,0.007890,0.005209,0.005149,0.005209,0.005212
-5.063058,0.008759,0.005890,0.005826,0.005890,0.005893
-5.018395,0.009704,0.006644,0.006576,0.006644,0.006647
-4.973733,0.010729,0.007476,0.007404,0.007476,0.007479
-4.929070,0.011840,0.008392,0.008316,0.008392,0.008395
-4.884408,0.013040,0.009397,0.009317,0.009397,0.009400
-4.839745,0.014334,0.010497,0.010414,0.010497,0.010500
-4.795083,0.015725,0.011697,0.011611,0.011697,0.011700
-4.750420,0.017217,0.013002,0.012914,0.013002,0.013006
-4.705758,0.018814,0.014418,0.014327,0.014418,0.014421
-4.661095,0.020519,0.015949,0.015857,0.015949,0.015952
-4.616433,0.022334,0.017599,0.017507,0.017599,0.017602
-4.571770,0.024262,0.019373,0.019281,0.019373,0.019376
-4.527108,0.026305,0.021274,0.021182,0.021274,0.021276
-4.482445,0.028463,0.023304,0.023214,0.023304,0.023306
-4.437783,0.030739,0.025466,0.025379,0.025466,0.025468
-4.393120,0.033131,0.027760,0.027677,0.027760,0.027761
-4.348458,0.035639,0.030187,0.030110,0.030187,0.030188
-4.303795,0.038262,0.032746,0.032676,0.032746,0.032747
-4.259133,0.040998,0.035436,0.035374,0.035436,0.035436
-4.214470,0.043842,0.038253,0.038201,0.038253,0.038252
-4.169808,0.046792,0.041193,0.041152,0.041193,0.041192
-4.125145,0.049843,0.044251,0.044222,0.044251,0.044249
-4.080483,0.052988,0.047420,0.047405,0.047420,0.047417
-4.035820,0.056222,0.050693,0.050693,0.050693,0.050689
-3.991158,0.059536,0.054058,0.054076,0.054058,0.054054
-3.946495,0.062921,0.057507,0.057543,0.057507,0.057502
-3.901833,0.066368,0.061027,0.061082,0.061027,0.061020
-3.857170,0.069867,0.064604,0.064680,0.064604,0.064597
-3.812508,0.073406,0.068225,0.068322,0.068225,0.068216
-3.767845,0.076974,0.071872,0.071992,0.071872,0.071863
-3.723183,0.080556,0.075531,0.075674,0.075531,0.075521
-3.678520,0.084140,0.079182,0.079349,0.079182,0.079171
-3.633858,0.087711,0.082807,0.082998,0.082807,0.082796
-3.589195,0.091254,0.086388,0.086603,0.086388,0.086376
-3.544533,0.094755,0.089905,0.090143,0.089905,0.089892
-3.499870,0.098197,0.093336,0.093598,0.093336,0.093323
-3.455208,0.101566,0.096664,0.096948,0.096664,0.096650
-3.410545,0.104844,0.099867,0.100173,0.099867,0.099853
-3.365883,0.108017,0.102925,0.103252,0.102925,0.102911
-3.321220,0.111069,0.105820,0.106166,0.105820,0.105806
-3.276558,0.113984,0.108533,0.108895,0.108533,0.108519
-3.231895,0.116747,0.111045,0.111423,0.111045,0.111032
-3.187233,0.119345,0.113342,0.113732,0.113342,0.113329
-3.142570,0.121764,0.115407,0.115807,0.115407,0.115395
