x,density
-5.090295,0.013211
-4.711825,0.019817
-4.333356,0.026422
-3.954886,0.079267
-3.576417,0.158533
-3.197947,0.079267
-2.819478,0.092478
-2.441008,0.112294
-2.062539,0.085872
-1.684070,0.079267
-1.305600,0.059450
-0.927131,0.099083
-0.548661,0.118900
-0.170192,0.178350
0.208278,0.125506
0.586747,0.125506
0.965217,0.151928
1.343686,0.099083
1.722156,0.118900
2.100625,0.099083
2.479095,0.066056
2.857564,0.145322
3.236034,0.125506
3.614503,0.138717
3.992973,0.059450
4.371442,0.059450
4.749911,0.079267
5.128381,0.026422
5.506850,0.013211
5.885320,0.006606
6.263789,0.000000
