iter,base_p25,base_med,base_p75,vem_p25,vem_med,vem_p75,ecm_p25,ecm_med,ecm_p75,gem_p25,gem_med,gem_p75
0,2.252127,2.585269,3.045976,2.252127,2.585269,3.045976,2.252127,2.585269,3.045976,2.252127,2.585269,3.045976
1,1.597403,1.861994,2.182143,1.615719,1.874262,2.194362,1.516987,1.701228,2.016750,1.731301,2.045505,2.465488
2,1.426556,1.536514,1.826023,1.474626,1.558495,1.845461,1.351612,1.407402,1.673920,1.573962,1.793862,2.114483
3,1.208952,1.335379,1.565639,1.248590,1.358269,1.588594,1.145917,1.274213,1.505518,1.468286,1.607657,1.942265
4,1.073511,1.228008,1.456897,1.111629,1.261287,1.459512,0.968521,1.158283,1.335497,1.356219,1.462049,1.748479
5,0.908422,1.121751,1.304300,0.994677,1.155060,1.301190,0.849552,1.016960,1.181291,1.232354,1.360845,1.630014
6,0.828209,0.994026,1.137283,0.895611,0.994024,1.182083,0.707464,0.912413,1.044164,1.165306,1.284092,1.557106
7,0.687204,0.915440,1.073929,0.760373,0.900967,1.094092,0.602187,0.851627,0.931279,1.063019,1.233082,1.483985
8,0.585822,0.851651,0.973652,0.650669,0.873869,1.037051,0.547349,0.783697,0.892432,0.982537,1.168085,1.374054
9,0.563330,0.816215,0.889911,0.591243,0.821872,0.918929,0.533387,0.700710,0.880800,0.922818,1.109699,1.262033
10,0.535456,0.722802,0.871812,0.570436,0.780144,0.879115,0.527428,0.658684,0.866313,0.857876,1.066029,1.162843
11,0.534203,0.657752,0.824091,0.534337,0.740876,0.878855,0.508806,0.623240,0.822876,0.806581,0.987678,1.124107
12,0.533612,0.626939,0.822203,0.521722,0.686580,0.878445,0.511518,0.587222,0.813072,0.724659,0.933397,1.067576
13,0.512885,0.589636,0.813747,0.519801,0.649928,0.854640,0.514477,0.571679,0.801475,0.656560,0.899045,1.010492
14,0.514264,0.570936,0.802997,0.519649,0.641014,0.821642,0.517488,0.564681,0.778220,0.609306,0.852231,0.974737
15,0.516731,0.562317,0.780100,0.519906,0.638531,0.821750,0.517670,0.565025,0.764180,0.580728,0.844491,0.924918
16,0.517078,0.561671,0.764210,0.508994,0.629516,0.821826,0.516374,0.568461,0.764101,0.566346,0.810991,0.880971
17,0.515900,0.564935,0.764121,0.509185,0.622655,0.821877,0.512037,0.571174,0.764069,0.538764,0.774711,0.879135
18,0.509930,0.568403,0.764081,0.509344,0.617573,0.821912,0.506144,0.572748,0.764059,0.534513,0.720216,0.874734
19,0.504762,0.570725,0.764065,0.509475,0.613841,0.821934,0.501008,0.573589,0.764060,0.534235,0.683862,0.847133
20,0.500259,0.572065,0.764062,0.509581,0.611079,0.821949,0.496556,0.574057,0.766877,0.534426,0.662349,0.825054
21,0.496337,0.572852,0.764552,0.509668,0.608995,0.821959,0.494283,0.574345,0.770232,0.534538,0.644942,0.823926
22,0.494344,0.573360,0.768706,0.509738,0.607386,0.821965,0.493213,0.574542,0.773090,0.515664,0.623221,0.823012
23,0.493374,0.573724,0.772264,0.509794,0.606116,0.821969,0.492336,0.574686,0.775448,0.509936,0.603617,0.820293
24,0.492554,0.574004,0.775169,0.509840,0.605098,0.821972,0.491639,0.574797,0.777368,0.511002,0.586464,0.814126
25,0.491875,0.574229,0.777475,0.509877,0.604276,0.821973,0.491109,0.574883,0.778926,0.512158,0.575792,0.808438
26,0.491327,0.574411,0.779280,0.509906,0.603612,0.821975,0.490730,0.575148,0.780199,0.513363,0.569124,0.803349
27,0.490901,0.574559,0.780686,0.509930,0.603079,0.821975,0.490484,0.576457,0.781250,0.514596,0.564839,0.792138
28,0.490587,0.574681,0.781785,0.509949,0.602656,0.821976,0.490348,0.577680,0.782130,0.515845,0.562692,0.781643
29,0.490373,0.574800,0.782651,0.509965,0.602326,0.821976,0.490300,0.578817,0.782879,0.517103,0.562226,0.773285
30,0.490246,0.575969,0.783344,0.509977,0.602059,0.821976,0.490316,0.579873,0.783525,0.517130,0.562889,0.767018
31,0.490190,0.577071,0.783909,0.509987,0.601862,0.821976,0.490375,0.580849,0.784091,0.516569,0.564168,0.764150
32,0.490192,0.578108,0.784379,0.509995,0.601719,0.821976,0.490458,0.581748,0.784595,0.514878,0.565672,0.764120
33,0.490237,0.579081,0.784779,0.510002,0.601620,0.821976,0.490551,0.582574,0.785047,0.511672,0.567150,0.764098
34,0.490310,0.579992,0.785128,0.510007,0.601556,0.821977,0.490641,0.583330,0.785457,0.508727,0.568474,0.764083
35,0.490400,0.580843,0.785439,0.510011,0.601519,0.821977,0.490719,0.584022,0.785832,0.506014,0.569598,0.764073
36,0.490496,0.581635,0.785722,0.510015,0.601502,0.821977,0.490782,0.584652,0.786177,0.503511,0.570522,0.764066
