iter,base_p25,base_med,base_p75,vem_p25,vem_med,vem_p75,ecm_p25,ecm_med,ecm_p75,gem_p25,gem_med,gem_p75
0,0.279660,0.393418,0.481444,0.279660,0.393418,0.481444,0.279660,0.393418,0.481444,0.279660,0.393418,0.481444
1,0.611370,0.710349,0.806881,0.611155,0.710344,0.806177,0.524005,0.641858,0.721071,0.286194,0.436026,0.494901
2,0.493189,0.605036,0.692206,0.475840,0.593830,0.676102,0.442889,0.564875,0.684544,0.396974,0.494027,0.579926
3,0.403823,0.511065,0.607734,0.371687,0.509317,0.583584,0.375483,0.460023,0.558919,0.396359,0.534785,0.613309
4,0.356883,0.428168,0.555862,0.350020,0.403557,0.495351,0.299386,0.347300,0.467785,0.396146,0.518925,0.607033
5,0.260553,0.365301,0.429124,0.231637,0.324630,0.447156,0.162557,0.276947,0.413588,0.378312,0.496754,0.580547
6,0.152893,0.300502,0.393303,0.134186,0.270689,0.407310,0.081496,0.205453,0.304243,0.368424,0.471112,0.564054
7,0.094303,0.249292,0.336034,0.080860,0.229862,0.344846,0.070256,0.163054,0.256074,0.348783,0.414695,0.534267
8,0.072082,0.168237,0.252712,0.072648,0.193454,0.250929,0.067013,0.123294,0.217473,0.327197,0.358414,0.474164
9,0.069920,0.141971,0.201856,0.070660,0.135416,0.224327,0.061494,0.109907,0.194757,0.258424,0.334642,0.420409
10,0.062746,0.106257,0.192418,0.064352,0.120570,0.197492,0.054253,0.102294,0.169453,0.199990,0.293609,0.397154
11,0.052330,0.104364,0.171117,0.063491,0.106229,0.167627,0.052818,0.096648,0.144721,0.148642,0.270973,0.376699
12,0.053238,0.098751,0.146191,0.062917,0.096070,0.146781,0.054480,0.088466,0.124698,0.107755,0.248701,0.326261
13,0.054810,0.094454,0.121974,0.066001,0.085179,0.126526,0.055485,0.076767,0.115257,0.084797,0.212564,0.287789
14,0.056477,0.088558,0.126088,0.065926,0.079941,0.115155,0.058065,0.077605,0.108910,0.070745,0.167401,0.260066
15,0.059268,0.085550,0.110793,0.064438,0.080015,0.109114,0.059886,0.073815,0.103879,0.066693,0.164903,0.241124
16,0.062211,0.077399,0.100080,0.064219,0.072600,0.097785,0.061572,0.074574,0.103742,0.067420,0.138826,0.219259
17,0.057830,0.070773,0.095903,0.058312,0.069329,0.093564,0.061558,0.073279,0.101775,0.065942,0.131766,0.198970
18,0.059528,0.071205,0.099219,0.060221,0.069768,0.093486,0.062291,0.072009,0.102733,0.061365,0.109248,0.192737
19,0.060749,0.070417,0.101845,0.060606,0.068639,0.093442,0.062778,0.071197,0.104307,0.062161,0.106198,0.183944
20,0.061509,0.070640,0.101519,0.059444,0.068366,0.093423,0.063020,0.069840,0.105282,0.055315,0.105651,0.173011
21,0.061179,0.069894,0.103782,0.059203,0.070927,0.093422,0.063161,0.069422,0.106205,0.055142,0.104064,0.161090
22,0.061492,0.069315,0.104650,0.059562,0.071660,0.093431,0.063247,0.068721,0.107075,0.055343,0.100893,0.148653
23,0.061960,0.068250,0.105478,0.059895,0.071569,0.093447,0.061608,0.068441,0.107892,0.055693,0.098271,0.135818
24,0.062162,0.068112,0.106266,0.060191,0.071508,0.093466,0.058926,0.068188,0.108658,0.056155,0.096071,0.123955
25,0.060280,0.068007,0.107016,0.060398,0.071467,0.093486,0.058165,0.067998,0.109374,0.056698,0.094210,0.123407
26,0.058059,0.067927,0.107726,0.060398,0.071402,0.093506,0.057369,0.067855,0.110042,0.057302,0.092267,0.125807
27,0.057182,0.067864,0.108399,0.060398,0.071125,0.093525,0.056582,0.067846,0.110665,0.057949,0.088623,0.117783
28,0.056736,0.067838,0.109035,0.060924,0.070806,0.093542,0.056644,0.067846,0.111243,0.058627,0.080387,0.113804
29,0.056206,0.067846,0.109636,0.061930,0.070458,0.093558,0.056687,0.067846,0.111779,0.060159,0.077250,0.105057
30,0.056221,0.067846,0.110203,0.062807,0.070089,0.093572,0.056717,0.067846,0.112274,0.053244,0.077184,0.101061
31,0.056367,0.067846,0.110736,0.063582,0.069705,0.093585,0.056739,0.067846,0.112731,0.054930,0.071011,0.097212
32,0.056475,0.067846,0.111236,0.064265,0.069314,0.093596,0.058174,0.067846,0.112827,0.056315,0.071286,0.094193
33,0.056556,0.067846,0.111705,0.065042,0.068920,0.093605,0.059594,0.067846,0.112829,0.057465,0.071270,0.098964
34,0.056615,0.067846,0.112144,0.065838,0.068527,0.093613,0.063213,0.067846,0.112830,0.058426,0.071182,0.104074
35,0.057417,0.067846,0.112554,0.065872,0.068964,0.093620,0.063419,0.069378,0.112831,0.059235,0.070885,0.103743
36,0.058730,0.067846,0.112822,0.065899,0.069789,0.093627,0.063420,0.069794,0.112832,0.059922,0.070511,0.102850
37,0.060508,0.067846,0.112825,0.065666,0.070516,0.093632,0.063421,0.069795,0.112833,0.060508,0.070522,0.102016
38,0.063405,0.067846,0.112827,0.065124,0.071157,0.093636,0.063421,0.069796,0.112833,0.061010,0.070545,0.101235
39,0.063409,0.069515,0.112829,0.064719,0.071435,0.093640,0.063422,0.069797,0.112834,0.061443,0.070890,0.101850
40,0.063413,0.069788,0.112830,0.064551,0.071524,0.093643,0.063422,0.069797,0.112834,0.061549,0.069849,0.103228
41,0.063415,0.069790,0.112831,0.064389,0.071606,0.093646,0.063422,0.069797,0.112834,0.061493,0.068531,0.103889
42,0.063417,0.069792,0.112832,0.064234,0.071680,0.093648,0.063422,0.069798,0.112834,0.061118,0.068434,0.104316
43,0.063418,0.069794,0.112833,0.064086,0.071749,0.093650,0.063422,0.069798,0.112834,0.060237,0.068490,0.104735
44,0.063419,0.069795,0.112833,0.063945,0.071811,0.093652,0.063422,0.069798,0.112834,0.059323,0.068388,0.105144
45,0.063420,0.069796,0.112833,0.063811,0.071868,0.093653,0.063422,0.069798,0.112834,0.058363,0.068298,0.105545
46,0.063421,0.069796,0.112834,0.063684,0.071921,0.093654,0.063423,0.069798,0.112835,0.057365,0.068219,0.105936
47,0.063421,0.069797,0.112834,0.063563,0.071969,0.093655,0.063423,0.069798,0.112835,0.056338,0.068150,0.106319
48,0.063422,0.069797,0.112834,0.063449,0.072012,0.093656,0.063423,0.069798,0.112835,0.055870,0.068089,0.106691
49,0.063422,0.069798,0.112834,0.063341,0.072053,0.093657,0.063423,0.069798,0.113222,0.055861,0.068036,0.107055
50,0.063422,0.069798,0.112834,0.063239,0.072090,0.093657,0.063423,0.069798,0.113993,0.055797,0.067989,0.107409
51,0.063422,0.069798,0.112834,0.063143,0.072123,0.093658,0.063423,0.069799,0.114686,0.055687,0.067948,0.107755
52,0.063422,0.069798,0.112834,0.063052,0.072154,0.093658,0.063423,0.069799,0.115310,0.055542,0.067912,0.108091
53,0.063422,0.069798,0.112835,0.062967,0.072183,0.093659,0.063423,0.069799,0.115872,0.055519,0.067881,0.108418
